date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:54:49	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-7e38df8da762b715;gz%22	https://seguroatendimento.fun/robots.txt		(from )
23:54:49	60664/60664	---M-Z	200	added ('OK')	text/html	etag:%22ecf8-67d21ff7-9d9e429393e27944;gz%22	https://seguroatendimento.fun/facil/up4/	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/index.html	(from )
23:54:50	12083/12083	---M-Z	200	added ('OK')	application/x-javascript	etag:%222f33-67d21aea-a68b34b901d56bca;gz%22	https://seguroatendimento.fun/facil/up4/js/latest.js	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/js/latest.js	(from https://seguroatendimento.fun/facil/up4/)
23:54:50	33252/33252	---MCZ	200	added ('OK')	text/javascript	etag:W/%225f2b003925600a48e5ef97101a30327e%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	C:/Users/felippe%20cruz/Downloads/up4/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://seguroatendimento.fun/facil/up4/)
23:54:50	19814/19814	---M-Z	200	added ('OK')	text/css	etag:%224d66-67d21aea-8ad5c81472fc37bb;gz%22	https://seguroatendimento.fun/facil/up4/css/elementor-icons.min.css%40ver%3D5.30.0.css	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/css/elementor-icons.min.css@ver=5.30.0.css	(from https://seguroatendimento.fun/facil/up4/)
23:54:50	212120/212120	---M-Z	200	added ('OK')	text/css	etag:%2233c98-67d21aea-145b254ecdcdbab;gz%22	https://seguroatendimento.fun/facil/up4/css/frontend-lite.min.css%40ver%3D3.23.2.css	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/css/frontend-lite.min.css@ver=3.23.2.css	(from https://seguroatendimento.fun/facil/up4/)
23:54:50	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-67d21aea-349ac81fd2c8924e;gz%22	https://seguroatendimento.fun/facil/up4/css/swiper.min.css%40ver%3D8.4.5.css	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/css/swiper.min.css@ver=8.4.5.css	(from https://seguroatendimento.fun/facil/up4/)
23:54:51	1168/1168	---M-Z	200	added ('OK')	text/css	etag:%22490-67d21aea-94a0bc136d3dc4dc;gz%22	https://seguroatendimento.fun/facil/up4/css/post-5.css%40ver%3D1721846116.css	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/css/post-5.css@ver=1721846116.css	(from https://seguroatendimento.fun/facil/up4/)
23:54:51	11529/11529	---M-Z	200	added ('OK')	text/css	etag:%222d09-67d21aea-b820cb603656a63f;gz%22	https://seguroatendimento.fun/facil/up4/css/frontend-lite.min.css%40ver%3D3.7.3.css	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/css/frontend-lite.min.css@ver=3.7.3.css	(from https://seguroatendimento.fun/facil/up4/)
23:54:51	39603/39603	---M-Z	200	added ('OK')	text/css	etag:%229ab3-67d21aea-973d62d2942bd514;gz%22	https://seguroatendimento.fun/facil/up4/css/global.css%40ver%3D1721846124.css	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/css/global.css@ver=1721846124.css	(from https://seguroatendimento.fun/facil/up4/)
23:54:51	4098/4098	---M-Z	200	added ('OK')	text/css	etag:%221002-67d21aea-fcaf7d558209c376;gz%22	https://seguroatendimento.fun/facil/up4/css/post-74.css%40ver%3D1721869524.css	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/css/post-74.css@ver=1721869524.css	(from https://seguroatendimento.fun/facil/up4/)
23:54:52	60664/60664	---M-Z	200	added ('OK')	text/html	etag:%22ecf8-67d21ff7-9d9e429393e27944;gz%22	https://seguroatendimento.fun/facil/up4/index.html	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/index-2.html	(from https://seguroatendimento.fun/facil/up4/)
23:54:52	326628/326628	---M--	200	added ('OK')	font/woff2	etag:%224fbe4-67d21aea-30eec854ca581f40;;;%22	https://seguroatendimento.fun/facil/up4/fonts/Inter-VariableFont_slnt%2Cwght.woff2	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/fonts/Inter-VariableFont_slnt,wght.woff2	(from https://seguroatendimento.fun/facil/up4/)
23:54:52	146060/146060	---M--	200	added ('OK')	font/woff2	etag:%2223a8c-67d21aea-28b1277fd8fe47d6;;;%22	https://seguroatendimento.fun/facil/up4/fonts/cardo_normal_400.woff2	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/fonts/cardo_normal_400.woff2	(from https://seguroatendimento.fun/facil/up4/)
23:54:52	105184/105184	---M--	200	added ('OK')	font/woff2	etag:%2219ae0-67d21aea-3934c10e93aac2e7;;;%22	https://seguroatendimento.fun/facil/up4/fonts/cardo_italic_400.woff2	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/fonts/cardo_italic_400.woff2	(from https://seguroatendimento.fun/facil/up4/)
23:54:52	132564/132564	---M--	200	added ('OK')	font/woff2	etag:%22205d4-67d21aea-4f67f5cf183e87d6;;;%22	https://seguroatendimento.fun/facil/up4/fonts/cardo_normal_700.woff2	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/fonts/cardo_normal_700.woff2	(from https://seguroatendimento.fun/facil/up4/)
23:54:53	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-7e38df8da762b715;gz%22	https://seguroatendimento.fun/facil/up4/POST	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/POST	(from https://seguroatendimento.fun/facil/up4/)
23:54:53	10131/10131	---M--	200	added ('OK')	image/png	etag:%222793-67d21aea-9644d79a42a8a5dd;;;%22	https://seguroatendimento.fun/facil/up4/images/WnD0DU7zK9BZKfdhhqrzIGIMtShJAJ0L17NHdhRT.png	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/images/WnD0DU7zK9BZKfdhhqrzIGIMtShJAJ0L17NHdhRT.png	(from https://seguroatendimento.fun/facil/up4/)
23:54:53	210532/210532	---M--	200	added ('OK')	image/png	etag:%2233664-67d21aea-bd9c4108343086d3;;;%22	https://seguroatendimento.fun/facil/up4/images/66737-f7936d2620ade6a3786fb947d8b5268b.png	C:/Users/felippe%20cruz/Downloads/up4/seguroatendimento.fun/facil/up4/images/66737-f7936d2620ade6a3786fb947d8b5268b.png	(from https://seguroatendimento.fun/facil/up4/)
