date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:41:05	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-3715fef652c80d44;gz%22	https://clickmoney.online/robots.txt		(from )
03:41:06	58658/58658	---M-Z	200	added ('OK')	text/html	etag:%22e522-669e1022-ebb291e500b13ac9;gz%22	https://clickmoney.online/up4/	C:/Users/felippe%20cruz/Downloads/up4/clickmoney.online/up4/index.html	(from )
03:41:06	211327/211327	---M-Z	200	added ('OK')	text/css	etag:%223397f-6697d054-8dc4ad4b23dd6a53;gz%22	https://appcupomdaveez.site/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.23.1	C:/Users/felippe%20cruz/Downloads/up4/appcupomdaveez.site/wp-content/plugins/elementor/assets/css/frontend-lite.min93d8.css	(from https://clickmoney.online/up4/)
03:41:06	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-6697d054-7b76622c7d29445;gz%22	https://appcupomdaveez.site/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/felippe%20cruz/Downloads/up4/appcupomdaveez.site/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://clickmoney.online/up4/)
03:41:07	1108/1108	---M-Z	200	added ('OK')	text/css	etag:%22454-669f2430-8cc1c0ebba4b4cc3;gz%22	https://appcupomdaveez.site/wp-content/uploads/elementor/css/post-10.css?ver=1721225346	C:/Users/felippe%20cruz/Downloads/up4/appcupomdaveez.site/wp-content/uploads/elementor/css/post-10c501.css	(from https://clickmoney.online/up4/)
03:41:07	9475/9475	---M-Z	200	added ('OK')	text/css	etag:%222503-669f2432-15414fc9ffb7386a;gz%22	https://appcupomdaveez.site/wp-content/uploads/elementor/css/global.css?ver=1721226335	C:/Users/felippe%20cruz/Downloads/up4/appcupomdaveez.site/wp-content/uploads/elementor/css/global715f.css	(from https://clickmoney.online/up4/)
03:41:07	5856/5856	---M-Z	200	added ('OK')	text/css	etag:%2216e0-669f2ebd-a813a3e5193e2ed0;gz%22	https://appcupomdaveez.site/wp-content/uploads/elementor/css/post-63.css?ver=1721257521	C:/Users/felippe%20cruz/Downloads/up4/appcupomdaveez.site/wp-content/uploads/elementor/css/post-63e798.css	(from https://clickmoney.online/up4/)
03:41:08	30389/30389	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jun%202024%2003:25:06%20GMT	https://i.ibb.co/WGv8ZNf/PREMIADO-2.png	C:/Users/felippe%20cruz/Downloads/up4/i.ibb.co/WGv8ZNf/PREMIADO-2.png	(from https://clickmoney.online/up4/)
03:41:09	4997/4997	---M-Z	200	added ('OK')	application/x-javascript	etag:%221385-6697d054-d6ac5830b4f6ff9d;gz%22	https://appcupomdaveez.site/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.23.1	C:/Users/felippe%20cruz/Downloads/up4/appcupomdaveez.site/wp-content/plugins/elementor/assets/js/webpack.runtime.min93d8.js	(from https://clickmoney.online/up4/)
03:41:09	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-6697c9ca-1254c4eb56f2e1c7;gz%22	https://appcupomdaveez.site/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/felippe%20cruz/Downloads/up4/appcupomdaveez.site/wp-includes/js/jquery/jquery.minf43b.js	(from https://clickmoney.online/up4/)
03:41:09	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-6697c9ca-9d09f2d6c671daa5;gz%22	https://appcupomdaveez.site/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/felippe%20cruz/Downloads/up4/appcupomdaveez.site/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://clickmoney.online/up4/)
03:41:09	1524744/1524744	---M--	200	added ('OK')	image/gif	etag:%22174408-6697d765-9bc8d3d7b25e39db;;;%22	https://appcupomdaveez.site/wp-content/uploads/2024/07/verified.gif	C:/Users/felippe%20cruz/Downloads/up4/appcupomdaveez.site/wp-content/uploads/2024/07/verified.gif	(from https://clickmoney.online/up4/)
03:41:09	73568/73568	---M-Z	200	added ('OK')	application/x-javascript	etag:%2211f60-6697d054-2e8409d28090d1a9;gz%22	https://appcupomdaveez.site/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.23.1	C:/Users/felippe%20cruz/Downloads/up4/appcupomdaveez.site/wp-content/plugins/elementor/assets/js/frontend-modules.min93d8.js	(from https://clickmoney.online/up4/)
03:41:10	12198/12198	---M-Z	200	added ('OK')	application/x-javascript	etag:%222fa6-6697d054-ca6aa6911058fee7;gz%22	https://appcupomdaveez.site/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/felippe%20cruz/Downloads/up4/appcupomdaveez.site/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://clickmoney.online/up4/)
03:41:10	21464/21464	---M-Z	200	added ('OK')	application/x-javascript	etag:%2253d8-6697c9ca-5f8c402adc680d80;gz%22	https://appcupomdaveez.site/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3	C:/Users/felippe%20cruz/Downloads/up4/appcupomdaveez.site/wp-includes/js/jquery/ui/core.minb37e.js	(from https://clickmoney.online/up4/)
03:41:10	40249/40249	---M-Z	200	added ('OK')	application/x-javascript	etag:%229d39-6697d054-88ad431f78df2123;gz%22	https://appcupomdaveez.site/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.23.1	C:/Users/felippe%20cruz/Downloads/up4/appcupomdaveez.site/wp-content/plugins/elementor/assets/js/frontend.min93d8.js	(from https://clickmoney.online/up4/)
03:41:11	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-3715fef652c80d44;gz%22	https://clickmoney.online/up4/-negative.svg	C:/Users/felippe%20cruz/Downloads/up4/clickmoney.online/up4/-negative.e.delayed	(from https://appcupomdaveez.site/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.23.1)
03:41:11	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-3715fef652c80d44;gz%22	https://clickmoney.online/up4/OPR/	C:/Users/felippe%20cruz/Downloads/up4/clickmoney.online/up4/OPR/index.html	(from https://appcupomdaveez.site/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.23.1)
